,JwMarriot_reviews,Sentiments
29,planned birthday day dinner wife lotus cafe j w marriott supportive staff helped plan party made day special kudos j w team specially miss sai jyoti polite informative dinner service thanks making small celebration memorable 👍🏼😊😘,1
30,id like compliment outstanding service staff starting warm welcome help front desk rachira saif kind friendly patient also amen warm welcoming tall young man works late night helping tv cable problem patient friendly roshan whos kind helpfulness friendly voice service makes feel comfortable call assistance parag lovely buffet restaurant excellent staff thank,1
31,production put working show hotel beautiful great location staff super nice breakfast unparalleled however book house care charged rupees minute ride took way long sort plus double confirmed driver knew go finally got car didnt know late meeting overcharged forrest essential toiletries bathroom hair dryer best hotel hair dryer ive used anywhere world,1
32,still cannot celebrate birthday friends relatives stayed marriott day daughters th birthday describe experience one word marvellous huge bunch surprises planned us check service gesture upgraded suit huge breathtaking view daughter welcome beautiful cake cupcake n donutsof amazing taste food service ambience awesome sincerely wana thanks rashmi radhika jagtap nellini gomes entire staff marriott making daughter day memorable,1
33,staycation nights j w marriott juhu stay absolutely amazing start upgraded suite hotel staff followed strict social distancing guidelines welcomed well giridhar felt v good daughters amazing time hotel engaged many activties pizza making fish feeding cup cake decoration amen guest services manager took super care daughters also great evening meals good care terms wearing masks social distancing many j w staff including chef took special care mention names anil chef alok check nakul took extra care hospitality right top room beautiful luxurious care taken hotel,1
34,went family dinner months jw marriott juhu place nice done keeping mind social distancing staff polite extremely helpful tough much variety available buffet service good staff made sure cater needs self serving allowed avoid kind contact infected person temperature taken enterance hands sanitized,1
35,hi stay amazing memorable marriott hospitality would specially like thank team member radhika jagtap hosting perfect stay upgrade truly values appreciated regards hirani family,1
36,took time pandemicng spending quality time jw marriott juhu mumbai felt nice feel experience legendary marriott hospitality safe working away nestled beach side one expects mumbai considering much famous maximum city reputation team jw juhu top class special shout ms trivedi guest relations folks fb f,1
37,well staying definitely best decision made amazing stay safety protocols followed even toddler us definitely skeptical leaving homes n staying hotel good decision end,1
38,awesome view amenities one could askdream great time infrastructure hospitality certain people like abhishek rashmi added different flavor altogether stay looking forward stay recommend near dear ones sure,1
39,first staycation booked whole covid lockdown safe say surpassed expectations check team reached highlighted safety protocol place procedures clearly laid making things smooth checked checked kind enough upgrade us grand ocean suite staff kind attentive literally memorable stay weve suite impeccable clean sanitised hygienic fantastic wholesome experience,1
40,star obviously certain level expectation hotel jw marriott went beyond ensure splendid staycation location biggest position strength however interior architecture adds charm despite covid elaborate buffet experience without maximum safety measures place something hotel providing moment plus supremely supportive creating special experience husbands birthday summarise cant wait stay,1
41,stayed jw juhu october despite apprehensive hotels coping coronavirus took chance made reservation relaxing break away work home house work time entered lobby till excited lobby following day smooth comforting experience staff working extrahard ensure precautions protocol undertaken followed diligently hats staff serving us smiles warmth even trying times signages across lobby elevators well guest room floor easy understand hope guests follow others sake breakfast buffet held lotus cafe recently,1
42,great time weekend hotel floor team rashmi staff restaurant meals gurvinder exec chef alok team thanks giving us fantastic stay service stay rooms also fab,1
43,spending full eight months home go scared every place visit great relaxing time every sanitation precaution taken care limited crowd could really feel safe excellent staff available time call special thanks dinning staff lotus cafe especially mrritesh single handedly took care every person could really feel warmth room ms lidia guest relations ms laxmi made grandchildren feel good every time visited place besides two every staff including chef sweet polite special thanks one room service given mr arvind excellent inroom dinning service provided ms,1
44,amazing stay everthing perfactwe would like visit managment staff services excellentand specially thanks raeeshe done great job me😊tysm everything,1
45,visited days hotel crowded due covid entire team jw ensured safety comfort right checkin rooms cleanliness food well taken care areas well kept clean sanitized made us feel safe big thank entire team jw marriott juhu make family stay comfortable,1
46,family wonderful stay jw marriott juhu location staff food everything made stay pleasant even though quarantine compromise food everyday menu different everything copacetic glad chose jw marriott stay thankyou,1
47,yes made blunder choosing property taj regis booked hotel change scenery activity days pathetic hospitality would happy forget thats staff jw juhu convincingly shirked left us ourself room cleaning ordering sanitizers roomthe hotel definitely empty hardly footfall made easier us understand actually run starting positive seamless booking experience jw thanks karan entire team reception service room dining experience inharmonious hubristic uncivil belief could worst traits youre hospitality,1
48,wanted thank entire staff juhu jw marriott giving wonderful stay family special thanks mr rohit mr abhishek giving lovely room giving best cooperation one day stay keep good work special thanks mr shrikant also lotus cafe giving wonderful dining experience thank mr rohit team juhu marriott always class apart experience,1
49,going pandemic looking safe place quick getaway child glad chose jw marriott safe staff extremely caring food served excellent sanitization ensured moment entered premises,1
50,ordered marriot wheelsthe food delivered promised time food lip smacking absolutely delicious bell boy also courteous delivered order,1
51,ordered food home delivery tastewise food super especially indian variety paneer starters moong dal halwa gulab jamun especially worthy mention non veg fare especially chicken gosht kebabs fantastic keep jwm,1
52,ordered weekend lunch jw marriott juhu mumbai jw wheels menu must say service quality quantity food impeccable courteous staff excellent service mr ritesh gupta ensured order fulfilled complete satisfaction thank jw marriott scrumptious meal,1
53,great hotel weekend month understaff every thing took lot time covid safety taken care shocked see buffet every guest pick food using cutlery virus transmission easily happen evening tea cold coffee took mins call beer papad room beer took mins forgot get papad time papad came beer wait hour gate open beach excess end tired waiting could go beach pizza came time cold could eat even slice salad staters came pizza confrimed late check bell boys came times pick bag great stay past,1
54,awesome lockdown stress buster full family free room upgrade lovely tasty breakfast dinner package staycation offer beach 🏖 access special feature enjoying beach bath u get cleaned hotel open shower towels special thanks miss nailiniji arranging lovely well personalised surprise cake guitar cake child birthday child activities lotus cafe staff took much personal care forgot names mramit joginder staff real stress buster crones swimming pools closed govt still spa closed beach acess,1
55,staying hotel past months lockdown grand ocean suite enjoying juhu beach view everyday different shades sky sea hotel beautiful garden big pool area good relaxingwalking space unwind day fishes birds easily say best hotel stay everyone mumbai timeline handling pandemic situation exceptional number safety precautions take every guest presence hotel doctors along high standards hygiene thoughtfulness every staff helps guests stay safe calm experience would like thank captain ship mr,1
56,amazing service even reduced staff nikhil great customer service notices rash guests friendly darpan great bartender makes good drinks without alcohol overall amazing service good food nice staff kudos,1
57,visited mumbai aug day vacation worth every risk amid pandemic let start saying jw marriott juhu well prepared take care guests needs exceeds expectations maintaining hygiene sanitation social distancing norms point feel like unnecessarily exposed guests staff felt really safe taken care service day dining restaurant room service excellent thanks deependra ritesh satish surprisingly good mocktails offered helping us menus meals chef alok chef nakul amazing spoiled us excellent meals italian oriental japanese room impeccable,1
58,awesome stay humble staff awesome breakfast morning safety taken staff awesome support mr raees reservations also radhika mam helped us activity children also amazing,1
59,excellent selection starters main course food well packed delivered right time ordered indian meal food delectable variety office accompanying sweet gulab jamun could different better satiating meal,1
60,turned aug great plans going family overseas due pandemic went drain circumstances wanted stay home googled next best thing saw jw mariott opening gates stay googled number spoke raes helpful soul told precautions jw takes bit worried year old son assured gave upgrade ofcourse ensured get lovely sea facing room room delight moment entered marriott good care taken seamless checkin taking us rooms ensuring safety measures explained knew safe hands meals delicious,1
61,jw marriott always excellence side service delight every time tried mariott wheels time today superb service satish makes sure order reaches requiredwith customisations time covid every small joy matters mow brings bundle joy form super tasty foodbe fusion roots pizza mutton seekh chicken biryani ravioli time fav brownies simply yummylicious also deliver full precaution terms driving staffs delivery guys necessary care taken jw marriottjuhu thanks care delight bring us every time take bite kudos satish jw marriott juhu team guy got,1
62,exceptional service quality special mention mr abhishek singh efforts looking service requirements personalised service like make guest come hotel thank,1
63,went staycation jw juhu want take risk traveling mumbai one line say experience jw covid fantabulous stay lot love care every member wonderful staff hotel radhika wonderful children loved fun activities used arrange gurvinder wonderful person missed getting name restaurant used patiently serve us almost every meal day stay forget wonderful mocktails allied surprises would bring way fact every team member restaurant wonderful safety standards difficult times impeccable extremely,1
64,dinner ordered upto mark spoke chef alok others went beyond make resend delicious meal added things thank much taking care making beautifully,1
65,booked hotel brother last month excellent experience jw juhu starting main gate till check every staff well trained understands guest needs stay amazing post lockdown assisted abhishek check got amazing room sea view saif always help entire stay guest relations manager rashmi well attentive solution every queries committed serve rashmi one great communication starter time hotel taking precautions related covid clean safe,1
66,excellent services providing admire performance room services also excellent staffs coordinated food hotel leads high level quality rates staying hotel reasonable,1
67,dear marriott team big shout u guys making daughters birthday special thoughtful lill personal touch u gave biggest smile thank u chef alok chef karishma excellent getting orders delivery guys pleasure served checks place thank manpreet arora happy mom,1
68,cannot remember names rashmi front desk chef alok culinary lotus cafe true star dipender lotus cafe service nikhi lotus cafe service gurvinder lotus cafe service went way spoil us stay made us feel like part extended family service heart,1
69,brilliant service food guidance karishma excellent taking care things ive many delicious meals time well done karishma fab,1
70,service impeccable food delicious always great able varied menu get together someone everyone special thanks manager bensan kind enough go far make special drink birthday special packaging mentioned name sweet message,1
71,abhishek singh team outstandinghad superb great experience planning extend stay thanks super great service staff helpful time service great food,1
72,food delivered timely good quality ritesh gupta courteous efficient recent stay comfortable followed covid protocols rashmi trivedi helpful always cheerful simran bbc great job happy platinum member,1
73,stay couple nights post lockdown wedding must say arrangement par excellence booked premier club room spacious amazing ocean view properly sanitized kept untouched hours prompt service courteous staff mariott guys never disappoint,1
74,hotel stay pleasant comfortable husband enjoyed loved food staff excellent would specially like thank satish rajak gurvinder singh help service surely stay,1
75,lot travel stay many five stars sometimes people force write review basis exceptionally good service stay amazing ms rashmi trivedi,1
76,wonderful stay marriott juhu staff fantastic courteous caring towards us service food excellent highly recommend anyone wants moneys worth,1
77,beyond amazing privilege place pandemic time omg guys suprise everytime organized love brilliant job guys karishma thanks alot getting dessert us team bloody fantastic keep good job proud guys,1
78,visited jw marriott juhu weekend staycation last week special thanks abhishek team upgrading us ocean view suite great hospitality safety measures followedone best breakfasts weve long time photos updates stay yourvacationgoals instagram,1
79,kumar srivatsa abundantia entertainment ordering veg non veg food guest mr ashok g extremely satisfied food requests items veg added possible extremely satisfied delivery also right time thank,1
80,thru lock amazing food service marriot hotel food precautions really good karishma vaid personally servicing looking orders delivery person comes hotel car feel safe hygiene service even gifted cakes friends family via marriot wheels personally ordered almost everything garlic breads croissants thai curry deserts course brunches really yum must add marriot amazing service food kept spirits highthank karishma entire team marriot hotels amazing service food pro tip tiramisu beyond amazing,1
81,j w marriott juju amazing experience family enjoyed staff service impeccable food beverages amazing really impressed fact every thing socially distanced well sanitized making us feel comfortable safe covid times,1
82,ordered gourmet pizzas different types delicious dessert delivered record time piping hot almost contact less enjoyed munching pizzas long stint home made food definitely try dishes extensive home delivery menu,1
83,stayed marriott juhu recently change got since lockdown thanks mr karishma vaid helped reservation making sure got kinda room needed brilliant hospitality impressive thing karishma personally kept touch via phone made sure stay refreshing one big thank rest hotel staff everyone aces,1
84,amazing weekend skeptical due covid celebrating sisters birthday big thank karishma vaid bookings making sure pleasant enjoyable safe stay,1
85,could contain happiness got email stating jwmarriott juhu started home delivery food ordered butter chickenpaneer dahi ke kebabravioli putanesca fruit cake food hygenically packed n sooo tastythe tea cakes made tea time something look forward tojwmarriott,1
86,rakesh manager handling mowmarriott wheels amazing goes beyond call duty got special pineaaple vegan cake amazing thanks chef making great cake rakesh supportive deliver time packaging also good covid related precautions taken keep regular customer since may,1
87,ordering quite frequently jw marriott juhu would love mention thank ms karishma vaid amazing topnotch service providing us ordering food much ease possible always received kind cooperation every order placed always kind helping us decide menu ms karishma looks needs details every order order always delivered time packed quite neatly food delicious everytime amazing menu ordering experience quick smooth many thanks ms karishma lovely team jw marriott juhu exceptional services hotel would always consider,1
88,decided go marriott wheels option sunday since long time ordered food ordering process seamless ashish jw marriott gave whatsapp details order easily placed order extremely supportive requested changes considering dietary preferences food door step promised person delivering food neatly dressed mask gloves also open card payments food neatly packed finally food yummy us enjoyed though didnt restaurant still great taste oily great flavours overall good sunday lunch without stepping home,1
89,pandemic changed many things things still enjoyed whilst home home delivery food marriot ensured even stay locked indoors indulgence hygienic safe manner person responsible guest relation officer karishma goes way service first experience may wedding anniversary upset travel plans called unsure day could special came karishma like knight shining armour exotic menu service assured us quality food delivery well sanitization service keep us safe day food arrived perfect time chauffer,1
90,rashmi trivedi helped us choose right room best customer service possible sweet ensured great time rashmi team informed us facilities thank much,1
91,easy order agreed make something thats wasnt menu meal yummy piping hot arrived mins packed well completely sealed person delivering wearing gloves mask thank,1
92,called family meal marriott wheels delivered marriott juhu amazing food excellent packaging quantity also good mouthwatering taste delivery also well time would definitely order,1
93,recently ordered food marriott hotel juhu availing marriott wheels service ordering process simpleish order calling phone number whatsapp since manual process takes extra minutes compared swiggy etc however staff courteous expected ordered kerala egg biriyani two stuffed kulchas delivered safely marriot staff arrived mercedes quite pleasent contrast swiggy deliveries complains though raining heavily forget raging pandemic marriot staff delivered food nevertheless wearing masks gloves greeted namaste food excellent service biriyani exceptional,1
94,sat th july dinner time ambient mood perfectly set beluga hand xrcd format patricia barbers companion expectations high dinner ordered saffron decided order cuisine meats different regions india awadhi luknowi nali nihari gogsht bughara chicken lasan allepey prawns deep south flavours extremely authentic meats perfectly cooked experience left us speechless stomachs craved although portions generous additionally thank mouli team braved challenging weather delivered dinner perfectly sanitised condition must add marriotts hotel know uses,1
95,ordered chocolate hazelnut cake bombay baking company absolutely amazing every piece tasted like heaven im looking forward dine mezzo mezzo lotus cafe jw marriott juhu,1
96,well home delivery delivered time person taking precautions except portion size food nothing issue delivery hygienic orders placed whatsapp,1
97,excellent service jw juhu ritesh pawar v professional giving vegetarian menu needed preset menu little choices vegetarians level hygiene extremely high delivery almost perfect delivery done rahul face shield gloves carried sterillium best alcohol sanitizer packaging excellent food quality awesome delivery delayed bit overall didnt matter much great service standards jw tough times,1
98,lockdown marriott started home delivery food services must say great service food ofcourse good delivery hygienic orders placed whatsapp convenient also delicious highly recommend,1
99,wife checked marriots juhu celebrate wifes th birthday receive extremely warm welcome upgraded premiere club room breathtaking view surprise cake cutting organised wife breakfast meals outstanding difficult covid times service par excellence special mention md rashmi trivedi made us feel real special thank look forward visiting,1
100,good stay ever one best stay loved recommended others family pleased spend positive vibe awesome go,1
101,arrived mumbai two days visa suspension foreign visitors went effect twonight reservation border lockdowns going effect needed extend stay six nights least could reserve seats outbound flight connect usa flight marriott extended stay upgraded us lovely room particular devanq checkin desk welcoming helpful ensuring positive stay spite stress cancellations border crossings entire staff amazing hotel consider future mumbai travel jw marriott mumbai juhu,1
102,every morning breakfast hotels restaurant awesome opportunity try many indian delicacies different curries dosas indian ice cream youre fan indian food probably go india need break traditional english breakfasts yogurts noodle soup extensive dink list choose favorite masala chai great way start day end meal service breakfast top notch nakul guvinder bahrat took great care us meal reality everyone helpful attentive treated us kindly brought us anything needed last day genuinely encouraged us come back visit,1
103,great hotel customer service excellent reception area clean tidy team courteous helpful concierge extremely helpful would recommend booking car hotel book one according mileage hours drivers helpful directing sights want see helpful advising us get tickets etc pool area well managed team around pool attentive supply water ensure towels laid sun loungers executive lounge well laid get maximum seating busy lounge team make feel welcome work extremely hard recognise days,1
104,beautiful property amazing interriors staff friendly special thanks mr dhiraj shetty bar providing amazing customer service experience efficient professional pleasant friendly keep great work dhiraj,1
105,stayed jwm juhu tara rd march booked phone twin room guy justin booked king room even though confirmed least times two hours later receiving confirmation email much hassle trying convince justins manager change room twin kindly changed reached hotel offered king room luckily reception staff helpful offered twin room end however since emailed times asking simple questions regarding marriott awards keep passing query customer care india survey feedback people customer care uk reception area express medallia whatever useless inefficient,1
106,visited lotus cafe birthday lunch amzaing spread chat section awesome staff quite attentive soft spoken dipendra food beverage assisted us quite well thank much dipendra kudos,1
107,hotel knows hospitality people marriott hotels come training always stay grand ocean suite hotel excellent ocean front accommodation spacious fit long stays nights beautiful pool feels like oasis chill lounge chairs enter hotel feel good ambiance lobby warm greetings staff full service marriott facility excellent spa spent one whole day spa getting treatments hotel located close shopping restaurants would like commend srikant chef nakul chefs lotus cafe made stay excellent payal selling marriott vacations,1
108,wanted take time highlight concierge jw marriott juhu mr noor going beyond help retrieve laptop taken airport security call gvk office assist also driver assist helping retrieve laptop gvk cannot thank mr noor enough extremely helpful guidance help critical issue also amazing providing help local questions courteous respectful prompt getting back thank much jw marriott juhu extremely lucky valuable team member part concierge team,1
109,lotus restaurant sumptuous food good spread healthy nutritious options good variety chefs alok chef amit excellent prepared special meals based restricted dietary requirements late dinner normally close pm two members staff vinod cardoza sagar surve helpful efficient provided excellent service also pleasure meeting gm mr sharadji humble earth also rohitji tiwari manager excellent advice help really good hotel worth stay,1
110,firstly marriott always first priority secondly located beachside awesome view rooms amazing staff hospitality else one ask stayed nights apart one expects marriott courteous polite efficient staff property everyone operator front desk housekeeping ird everyone ensured pleasant stay checkin check everything smooth elegant worth visiting would definitely want give credit amazing duty managers lead team heartfelt thanks tarun manisha dm always ready go extra mile make experience memorable,1
111,stayed nights best time hotel staff extremely helpful polite spa amenities spectacular service nellini reception toes making sure trip went without glitch went way make us feel welcome comfortable id give whole experience cheers,1
112,took wife birthday beautiful hotel say lived expectations check smooth upgraded us deluxe ocean sea view executive sea view room staff desk helpful mention monica super host room spacious clean would expect view amazing amenities star hotel rajesh room attendant always hand required anything breakfast morning highlight day much food varied choice could sit couple hours eating looking wonderfully landscaped garden staff polite attentive needs second day,1
113,booked royal lotus suite room top notch jw marriott check simple extraordinary plus one helped us escort room room tour complimentary cocktails one served us reception area room entered room tables full dust even free access executive lounge good treatment lounge well like asking drink food anything us asking others present lounge overall stay basic average imagination suite room nothing extra ordinary never felt luxury compared many good property st regis taj oberoi etc would,1
114,stayed jw marriott juhu recommendation local company lived reputation hotel offers high standard clean functional delivers excellent place stay greeted warmly reception reasonably quickly checkin process room high quality stayed night also ate restaurant stairs food high quality friendly knowledgeable staff round would highly recommend,1
115,one signature hotels marriot truly reflective classy interiors super friendly staff professional breakfast quality spread excellent went personal visit wife felt pampered happy,1
116,asked upgrading rooms access executive lounge prior arrival offered rate checkin asked happily informed would upgraded without charge executive lounge also good live cooking station evening serving lovely street food facilities good would also state breakfast probably one best seen india globally many live cooking stations exceptional choice also great sparkling water breakfast offered charge perrier something hotels want charge overall excellent property beach expectational staff service,1
117,hotel grounds nice hotel child friendly would recommend families young children currently staying suite checked front desk confirmed booking one extra bed stopped front desk way dinner requesting missing bed pm called room services asking bed confirmed never request bed would take minimum min arrive bed arrived could put children bed children wanted play soft plastic ball pool told allowed one main pool first day accepted people pool,1
118,today dined lotus cafethe staff warma special mention mrgurvinder went extra mile make us comfortablewe wonderful experience dining todaythe buffet spread also different previous ones quite refreshing,1
119,hotel quite gem area located iconic specially around long time prominently every time lovely visited property almost years still old great ever check process smooth mr ruzbeh front office department kind welcoming assisted partner early check meeting attend day room spectacular view pr lady hotel specially called room check comfortable little touch points actually matter go long way persons stay housekeeping department efficient kind room loved vibe,1
120,trying book room house reservation team call one answers call trying days vain finally called fnb manager since noasked help alternate nohe gave duty managers nowhich went reply din even bother return calls finally managed speak chaitanya sana club marriott team assured arrange call back soon duty manager gets free never happened thing happened month jan planning night stay response call back gave n chkd taj airport even msgd gm mr puri also seems ignorelike leader like team club,1
121,back favorite hotel wish bakery served interesting variety foods love masala cheese omlette jessica snowhill always kind helpful meet extra quirky needsextra butter hot drinking water side greens please vijay concierge helped immensely time first time traveling alone made sure everything needed feel safe knowledgeable travels needs recommend hotel every single time,1
122,marriott bonvoy gold member travelled stayed jw marriott marriott across world jw marriott juhu bad beyond expectations service staff behaviour anything marriott gold member get upgrades hotel staff gave room told upgrade sometime room ready till pm kept inquiring reply tried contacting duty manager reply around pm sent person room key another room apology wake early morning flight requested cup tea alongwith wake call tea didnt come came mins apology behaviour staff hospitable duty manager never,1
123,level personalized service hotel extraordinary especially club lounge know sight first visit even remember drink preferences another real standout breakfast buffet varied extensive seen anywhere world like brunch steroids breakfast personal favorites regional food stations mixyourown juice bar offered almost dozen different freshsqueezed fruit vegetable juices ive times every time delightful,1
124,since last year thi favorite hotel stay duty mumbai india love hospitable well versed dignified loving staff marriott bonvoy member prefer outstanding sea view hotel help early morning walk along juhu beach followed varieties delicacies breakfast indian north south western outstanding mouthwatering dishes continental breakfast rooms offered sea view best feeling like asleep amidst nature thank concerned staff reservation breakfast room service everywhere take good care though could name others hurt best marriott true service logo experience marriott treatment best,1
125,truly superb time especially kids loved executive lounge excellent service staff front desk special shout vijay went way ensure excellent stay kudos whole team,1
126,jw marriott juhu stayed jw marriott sitting today breakfast wife jw juhu horrible horrible service waiters standing around girls working talking paying attention guest thing happened last nite dinner horrible service wave waiters get service akshay others really good guest im amazed jw standards two young managers basically standing around talking associates wow guest service wife went get puri ask guys dosa station sheprajkta told wife back guys dosa station told girl go help food awesome breakfast dinner buffet,1
127,amazing time jw juhu usual hotel lived expectations particular note made concierge team vijay noor lewis always find solution never let us thank big thanks executive chef alok nakul whose team made eating enjoyable see soon home home,1
128,best experience jw juhu celebrating anniversary staycation tarun front desk made memorable one got upgraded ocean facing room even included complimentary breakfast ensure five year old looked well even surprised us evening flowers bottle wine amazing chocolate mousse cake service beyondyou guys rock special shout tarun,1
129,coming hotel since opened experience keeps getting better memorable every time everything staff service food ambience poolside simply impeccable checkin departure staff going beyond cater needs make us feel like home exquisite food hospitality breakfast lotus cafe second none lost words describe immense appreciation staff staff executive lounge incredible always ready serve us highest level smile bent backwards ensure needs met always pool staff lifeguards personal trainers,1
130,definitely one next beachfront properties juhu best buffet facility lunch dinner quan spa expertly managed gives best treatments available mumbai day guests paid rupees tax use pool facility well worth time year weather perfect due offpeak plenty sunbeds available director pool deserves special credit running excellent service team pool guys courteous attentive access beautiful beach marriotts bonvoy member gain points discounts food beverages make point visit facility even nonresident join bonvoy programme get accepted easily,1
131,jw marriott mumbai juhu 🏩 beautiful property wonderful location providing awesome view sea 🌊 first stay jw marriott mumbai juhu say exhilarating experience hotel dazzles luxury first look attaches excellent service end feel want experience enriches lasts memories heartfelt thanks front office manage gaurav batra extremely courteous friendly helpful behaviour superb helped us best possible way would love stay highly impressed ⭐️⭐️⭐️⭐️⭐️,1
132,hotel provid ed great end month holiday indian exceptional hotel super exec lounge facilities staff couldnt helpful engaging nothing seem much trouble lovely pools area poolside bar loved breakfast dosa lounge highly recommend,1
133,second time stayed pleasure monika particular extremely helpful made stay perfect nothing much hotel would recommend hotel anyone visiting mumbai,1
